,unitid,year,fips,level_of_study,tuition_type,tuition_fees_ft,tuition_ft,fees_ft,credit_hour_charge_pt,tuition_published,fees_published,tuition_fees_published,tuition_pub_pct_increase,fees_pub_pct_increase,ingested_at_utc
92,101301,2021,1,1,4,8250.0,7380.0,870.0,246.0,7380.0,870.0,8250.0,,,2026-02-13T03:05:35
93,101365,2021,1,1,2,14200.0,13320.0,880.0,585.0,13320.0,880.0,14200.0,,,2026-02-13T03:05:35
94,101365,2021,1,1,3,14200.0,13320.0,880.0,585.0,13320.0,880.0,14200.0,,,2026-02-13T03:05:35
95,101365,2021,1,1,4,14200.0,13320.0,880.0,585.0,13320.0,880.0,14200.0,,,2026-02-13T03:05:35
96,101365,2021,1,2,2,11680.0,10800.0,880.0,675.0,,,,,,2026-02-13T03:05:35
97,101365,2021,1,2,3,11680.0,10800.0,880.0,675.0,,,,,,2026-02-13T03:05:35
98,101365,2021,1,2,4,11680.0,10800.0,880.0,675.0,,,,,,2026-02-13T03:05:35
99,101435,2021,1,1,2,27492.0,25995.0,1497.0,946.0,26400.0,1500.0,27900.0,,,2026-02-13T03:05:35
100,101435,2021,1,1,3,27492.0,25995.0,1497.0,946.0,26400.0,1500.0,27900.0,,,2026-02-13T03:05:35
101,101435,2021,1,1,4,27492.0,25995.0,1497.0,946.0,26400.0,1500.0,27900.0,,,2026-02-13T03:05:35
102,101435,2021,1,2,2,22800.0,22500.0,300.0,,,,,,,2026-02-13T03:05:35
103,101435,2021,1,2,3,22800.0,22500.0,300.0,,,,,,,2026-02-13T03:05:35
104,101435,2021,1,2,4,22800.0,22500.0,300.0,,,,,,,2026-02-13T03:05:35
105,101453,2021,1,1,2,11632.0,10152.0,1480.0,423.0,10152.0,1480.0,11632.0,,,2026-02-13T03:05:35
106,101453,2021,1,1,3,11632.0,10152.0,1480.0,423.0,10152.0,1480.0,11632.0,,,2026-02-13T03:05:35
107,101453,2021,1,1,4,11632.0,10152.0,1480.0,423.0,10152.0,1480.0,11632.0,,,2026-02-13T03:05:35
108,101453,2021,1,2,2,5112.0,4482.0,630.0,249.0,,,,,,2026-02-13T03:05:35
109,101453,2021,1,2,3,5112.0,4482.0,630.0,249.0,,,,,,2026-02-13T03:05:35
110,101453,2021,1,2,4,5112.0,4482.0,630.0,249.0,,,,,,2026-02-13T03:05:35
111,101462,2021,1,1,2,4830.0,3690.0,1140.0,123.0,3690.0,1140.0,4830.0,,,2026-02-13T03:05:35
112,101462,2021,1,1,3,4830.0,3690.0,1140.0,123.0,3690.0,1140.0,4830.0,,,2026-02-13T03:05:35
113,101462,2021,1,1,4,8520.0,7380.0,1140.0,246.0,7380.0,1140.0,8520.0,,,2026-02-13T03:05:35
114,101471,2021,1,1,2,5472.0,4788.0,684.0,133.0,4788.0,684.0,5472.0,,,2026-02-13T03:05:35
115,101471,2021,1,1,3,5472.0,4788.0,684.0,133.0,4788.0,684.0,5472.0,,,2026-02-13T03:05:35
116,101471,2021,1,1,4,5472.0,4788.0,684.0,133.0,4788.0,684.0,5472.0,,,2026-02-13T03:05:35
117,101480,2021,1,1,2,11120.0,9720.0,1400.0,324.0,9720.0,1400.0,11120.0,,,2026-02-13T03:05:35
118,101480,2021,1,1,3,11120.0,9720.0,1400.0,324.0,9720.0,1400.0,11120.0,,,2026-02-13T03:05:35
